x,y,hue
1,1.000000,bind-9.18.4
2,2.000000,bind-9.18.4
3,3.000000,bind-9.18.4
4,4.000000,bind-9.18.4
5,5.000000,bind-9.18.4
6,6.000000,bind-9.18.4
7,7.000000,bind-9.18.4
8,8.000000,bind-9.18.4
9,9.000000,bind-9.18.4
10,10.000000,bind-9.18.4
1,18.000000,unbound-1.10.0
2,36.000000,unbound-1.10.0
3,54.000000,unbound-1.10.0
4,72.000000,unbound-1.10.0
5,90.000000,unbound-1.10.0
6,108.000000,unbound-1.10.0
7,126.000000,unbound-1.10.0
8,144.000000,unbound-1.10.0
9,162.000000,unbound-1.10.0
10,180.000000,unbound-1.10.0
1,24.000000,unbound-1.16.0
2,48.000000,unbound-1.16.0
3,72.000000,unbound-1.16.0
4,72.000000,unbound-1.16.0
5,72.000000,unbound-1.16.0
6,72.000000,unbound-1.16.0
7,72.000000,unbound-1.16.0
8,72.000000,unbound-1.16.0
9,72.000000,unbound-1.16.0
10,72.000000,unbound-1.16.0
1,11.000000,powerDNS-4.7.3
2,22.000000,powerDNS-4.7.3
3,33.000000,powerDNS-4.7.3
4,44.000000,powerDNS-4.7.3
5,55.000000,powerDNS-4.7.3
6,55.000000,powerDNS-4.7.3
7,55.000000,powerDNS-4.7.3
8,55.000000,powerDNS-4.7.3
9,55.000000,powerDNS-4.7.3
10,55.000000,powerDNS-4.7.3
